Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2019-01-24,2715.5,2730.45,2667.05,2697.9,2698.18,38.0,26.0,102531.0,18.0,47.37,63.4,-17.6
2019-01-23,2614.55,2727.0,2614.5,2693.3,2683.99,145.0,68.0,389178.0,44.0,30.34,112.5,78.75
2019-01-22,2618.05,2655.0,2510.5,2611.9,2591.19,5414.0,373.0,14028698.0,483.0,8.92,144.5,-6.15
2019-01-21,2700.0,2700.0,2666.0,2673.35,2678.43,68.0,24.0,182133.0,55.0,80.88,34.0,-26.65
2019-01-18,2728.3,2790.0,2676.25,2717.25,2703.93,263.0,82.0,711134.0,133.0,50.57,113.75,-11.05
2019-01-17,2800.75,2804.25,2728.9,2763.55,2765.83,2189.0,75.0,6054402.0,13.0,0.59,75.35,-37.2
2019-01-16,2859.4,2859.4,2762.8,2779.4,2793.48,58.0,39.0,162022.0,32.0,55.17,96.6,-80.0
2019-01-15,2872.0,2899.0,2820.0,2846.0,2859.68,2356.0,126.0,6737398.0,99.0,4.2,79.0,-26.0
2019-01-14,2731.0,2999.0,2650.0,2839.4,2759.41,402.0,124.0,1109283.0,270.0,67.16,349.0,108.4
2019-01-11,2846.35,2846.35,2740.55,2757.0,2770.09,3577.0,94.0,9908604.0,43.0,1.2,105.8,-89.35
2019-01-10,2763.0,2850.35,2763.0,2821.2,2814.23,52.0,30.0,146340.0,23.0,44.23,87.35,58.2
2019-01-09,2804.0,2804.0,2740.55,2787.45,2774.08,247.0,54.0,685198.0,190.0,76.92,63.45,-16.55
2019-01-08,2888.75,2888.75,2808.0,2820.0,2823.49,100.0,28.0,282349.0,77.0,77.0,80.75,-68.75
2019-01-07,2879.6,2926.4,2822.2,2896.2,2865.74,2046.0,104.0,5863304.0,98.0,4.79,104.2,16.6
2019-01-04,2888.75,2897.5,2824.3,2835.55,2845.23,61.0,31.0,173559.0,33.0,54.1,73.2,-53.2
2019-01-03,2854.05,2930.0,2854.05,2912.2,2908.49,465.0,131.0,1352448.0,358.0,76.99,75.95,58.15
2019-01-02,2876.95,2885.95,2840.0,2870.6,2869.69,16.0,16.0,45915.0,5.0,31.25,45.95,-6.35
2019-01-01,2865.65,2865.65,2800.0,2825.45,2842.82,34.0,20.0,96656.0,13.0,38.24,65.65,-40.2
2018-12-31,2875.0,2889.95,2826.2,2852.5,2860.17,155.0,54.0,443327.0,65.0,41.94,63.75,-22.5
2018-12-28,2820.0,2860.5,2806.5,2837.1,2836.75,248.0,73.0,703513.0,102.0,41.13,54.0,17.1
2018-12-27,2856.4,2873.75,2831.45,2843.3,2853.25,95.0,40.0,271059.0,49.0,51.58,42.3,-13.1
2018-12-26,2848.0,2858.0,2820.35,2843.4,2844.79,219.0,92.0,623010.0,122.0,55.71,37.65,-4.6
2018-12-24,2882.85,2936.0,2864.55,2900.05,2897.64,89.0,35.0,257890.0,71.0,79.78,71.45,17.2
2018-12-21,2880.0,2894.45,2850.0,2890.8,2869.2,388.0,149.0,1113251.0,130.0,33.51,44.45,10.8
2018-12-20,2871.0,2978.95,2829.45,2907.2,2902.96,378.0,152.0,1097317.0,173.0,45.77,149.5,36.2
2018-12-19,2914.0,3000.0,2898.0,2954.55,2917.22,4594.0,257.0,13401728.0,4346.0,94.6,102.0,40.55
2018-12-18,2839.55,2911.85,2807.35,2878.55,2843.23,4253.0,142.0,12092274.0,2111.0,49.64,104.5,39.0
2018-12-17,2890.0,2899.0,2852.55,2865.95,2879.78,136.0,64.0,391650.0,82.0,60.29,46.45,-24.05
2018-12-14,2871.85,2893.4,2849.0,2858.9,2867.79,117.0,56.0,335532.0,60.0,51.28,44.4,-12.95
2018-12-13,2861.8,2909.3,2830.0,2843.3,2869.16,1517.0,145.0,4352513.0,993.0,65.46,79.3,-18.5
2018-12-12,2883.0,2918.0,2830.0,2844.2,2875.75,2384.0,101.0,6855794.0,38.0,1.59,88.0,-38.8
2018-12-11,2860.15,2860.15,2808.05,2853.5,2822.18,373.0,94.0,1052674.0,71.0,19.03,52.1,-6.65
2018-12-10,2730.55,2896.0,2730.55,2881.1,2815.82,5062.0,48.0,14253692.0,4971.0,98.2,165.45,150.55
2018-12-07,2869.05,2929.95,2865.55,2887.9,2891.34,41.0,26.0,118545.0,17.0,41.46,64.4,18.85
2018-12-06,2933.35,2980.1,2815.1,2863.05,2913.73,17600.0,151.0,51281622.0,17087.0,97.09,165.0,-70.3
2018-12-05,3010.0,3010.0,2905.0,2933.35,2942.62,348.0,97.0,1024031.0,200.0,57.47,105.0,-76.65
2018-12-04,2990.0,3050.0,2950.0,3016.95,3010.22,3711.0,633.0,11170922.0,1336.0,36.0,100.0,26.95
2018-12-03,2800.0,2941.8,2800.0,2901.15,2859.28,4137.0,598.0,11828853.0,1810.0,43.75,141.8,101.15
2018-11-30,2786.0,2850.0,2786.0,2818.4,2817.44,34.0,16.0,95793.0,31.0,91.18,64.0,32.4
2018-11-29,2758.2,2850.0,2758.2,2782.35,2789.68,2244.0,137.0,6260053.0,230.0,10.25,91.8,24.15
2018-11-28,2772.05,2824.3,2715.0,2773.75,2781.23,135.0,33.0,375466.0,92.0,68.15,109.3,1.7
2018-11-27,2774.85,2822.65,2757.0,2793.7,2799.46,93.0,25.0,260350.0,21.0,22.58,65.65,18.85
2018-11-26,2755.0,2814.9,2749.05,2758.15,2759.99,151.0,52.0,416759.0,64.0,42.38,65.85,3.15
2018-11-22,2772.45,2800.0,2754.0,2777.9,2776.97,91.0,23.0,252704.0,53.0,58.24,46.0,5.45
2018-11-20,2800.0,2800.0,2750.7,2799.0,2790.75,225.0,73.0,627918.0,190.0,84.44,49.3,-1.0
2018-11-19,2797.95,2843.0,2763.1,2797.75,2798.81,2199.0,50.0,6154594.0,39.0,1.77,79.9,-0.2
2018-11-16,2825.5,2825.5,2731.45,2763.1,2773.56,150.0,32.0,416034.0,108.0,72.0,94.05,-62.4
2018-11-15,2797.0,2811.85,2778.85,2798.2,2795.93,241.0,56.0,673819.0,144.0,59.75,33.0,1.2
2018-11-14,2848.75,2848.75,2760.05,2789.75,2786.6,15.0,11.0,41799.0,8.0,53.33,88.7,-59.0
2018-11-13,2834.95,2834.95,2756.0,2803.0,2790.37,2011.0,82.0,5611442.0,128.0,6.36,78.95,-31.95
2018-11-12,2750.9,2875.0,2701.0,2820.45,2820.54,6158.0,384.0,17368859.0,5460.0,88.67,174.0,69.55
2018-11-09,2699.95,2699.95,2600.55,2685.4,2657.56,189.0,90.0,502278.0,134.0,70.9,99.4,-14.55
2018-11-06,2667.55,2700.0,2666.05,2695.0,2679.26,38.0,17.0,101812.0,19.0,50.0,33.95,27.45
2018-11-05,2630.0,2700.0,2625.3,2679.45,2659.39,197.0,94.0,523900.0,93.0,47.21,74.7,49.45
2018-11-02,2631.05,2660.0,2585.7,2625.15,2628.98,108.0,42.0,283930.0,38.0,35.19,74.3,-5.9
2018-11-01,2556.0,2616.0,2549.95,2605.95,2589.63,384.0,109.0,994416.0,207.0,53.91,66.05,49.95
2018-10-31,2492.5,2602.2,2489.0,2557.25,2553.82,883.0,235.0,2255020.0,326.0,36.92,113.2,64.75
2018-10-30,2499.95,2553.2,2489.95,2533.55,2518.64,1611.0,102.0,4057523.0,114.0,7.08,63.25,33.6
2018-10-29,2570.0,2570.0,2413.45,2476.35,2470.46,906.0,201.0,2238241.0,437.0,48.23,156.55,-93.65
2018-10-26,2470.0,2558.95,2400.0,2484.3,2441.42,2727.0,382.0,6657758.0,500.0,18.34,158.95,14.3
2018-10-25,2381.0,2500.0,2381.0,2456.8,2429.84,81.0,34.0,196817.0,39.0,48.15,119.0,75.8
2018-10-24,2389.0,2450.0,2389.0,2449.45,2445.58,78.0,41.0,190755.0,75.0,96.15,61.0,60.45
2018-10-23,2420.0,2420.0,2380.05,2410.5,2405.31,8778.0,62.0,21113809.0,6707.0,76.41,39.95,-9.5
2018-10-22,2417.0,2468.5,2360.0,2417.35,2380.75,278.0,80.0,661848.0,177.0,63.67,108.5,0.35
2018-10-19,2384.55,2440.0,2346.05,2416.25,2393.63,148.0,46.0,354257.0,88.0,59.46,93.95,31.7
2018-10-17,2455.0,2455.0,2380.0,2399.0,2410.91,1828.0,56.0,4407150.0,56.0,3.06,75.0,-56.0
2018-10-16,2433.9,2485.25,2406.45,2457.0,2450.15,130.0,36.0,318520.0,34.0,26.15,78.8,23.1
2018-10-15,2462.2,2462.2,2380.0,2400.15,2424.24,2782.0,96.0,6744243.0,33.0,1.19,82.2,-62.05
2018-10-12,2425.0,2500.0,2350.0,2462.15,2416.84,566.0,116.0,1367929.0,169.0,29.86,150.0,37.15
2018-10-11,2228.35,2449.9,2228.35,2430.85,2390.6,537.0,166.0,1283752.0,224.0,41.71,221.55,202.5
2018-10-10,2262.35,2468.0,2250.85,2422.65,2349.02,287.0,100.0,674170.0,142.0,49.48,217.15,160.3
2018-10-09,2250.0,2250.0,2168.4,2218.2,2209.46,412.0,105.0,910296.0,174.0,42.23,81.6,-31.8
2018-10-08,2266.8,2313.4,2202.2,2296.2,2262.13,329.0,84.0,744242.0,165.0,50.15,111.2,29.4
2018-10-05,2216.2,2356.85,2210.15,2298.25,2298.96,768.0,171.0,1765599.0,337.0,43.88,146.7,82.05
2018-10-04,2294.25,2321.85,2159.25,2188.4,2269.0,789.0,198.0,1790243.0,551.0,69.84,162.6,-105.85
2018-10-03,2380.35,2380.35,2340.0,2343.15,2346.44,569.0,107.0,1335122.0,406.0,71.35,40.35,-37.2
2018-10-01,2420.0,2420.0,2300.0,2336.9,2369.92,267.0,98.0,632769.0,177.0,66.29,120.0,-83.1
2018-09-28,2412.0,2500.1,2387.1,2483.55,2453.49,319.0,97.0,782662.0,262.0,82.13,113.0,71.55
2018-09-27,2479.9,2492.0,2416.0,2448.3,2443.38,262.0,73.0,640165.0,147.0,56.11,76.0,-31.6
2018-09-26,2488.7,2520.1,2464.25,2489.4,2491.4,363.0,152.0,904377.0,208.0,57.3,55.85,0.7
2018-09-25,2488.8,2572.65,2453.3,2528.6,2519.05,374.0,166.0,942124.0,223.0,59.63,119.35,39.8
2018-09-24,2561.3,2562.0,2410.05,2533.2,2493.85,448.0,171.0,1117247.0,261.0,58.26,151.95,-28.1
2018-09-21,2511.9,2574.65,2245.05,2525.35,2490.13,653.0,229.0,1626055.0,460.0,70.44,329.6,13.45
2018-09-19,2507.0,2527.95,2477.0,2492.3,2502.03,31.0,20.0,77563.0,13.0,41.94,50.95,-14.7
2018-09-18,2541.35,2556.45,2497.85,2520.7,2522.83,124.0,63.0,312831.0,48.0,38.71,58.6,-20.65
2018-09-17,2475.0,2535.7,2468.55,2515.05,2501.07,97.0,45.0,242604.0,46.0,47.42,67.15,40.05
2018-09-14,2450.0,2503.2,2433.65,2486.3,2473.15,185.0,81.0,457533.0,94.0,50.81,69.55,36.3
2018-09-12,2503.0,2513.1,2440.75,2464.45,2468.55,377.0,140.0,930643.0,227.0,60.21,72.35,-38.55
2018-09-11,2490.0,2510.35,2489.05,2502.7,2496.51,713.0,112.0,1780013.0,587.0,82.33,21.3,12.7
2018-09-10,2528.05,2536.75,2480.0,2491.1,2498.34,764.0,227.0,1908733.0,404.0,52.88,56.75,-36.95
2018-09-07,2497.0,2534.8,2488.0,2513.75,2509.88,336.0,100.0,843319.0,180.0,53.57,46.8,16.75
2018-09-06,2513.2,2532.65,2480.0,2496.9,2509.4,395.0,84.0,991214.0,202.0,51.14,52.65,-16.3
2018-09-05,2544.55,2559.05,2480.4,2521.9,2526.25,2128.0,285.0,5375859.0,1101.0,51.74,78.65,-22.65
2018-09-04,2545.0,2580.0,2533.2,2544.35,2549.89,175.0,70.0,446230.0,74.0,42.29,46.8,-0.65
2018-09-03,2589.45,2589.45,2540.0,2544.85,2559.06,461.0,132.0,1179726.0,193.0,41.87,49.45,-44.6
2018-08-31,2510.0,2610.0,2475.15,2590.0,2536.93,3259.0,503.0,8267859.0,976.0,29.95,134.85,80.0
2018-08-30,2651.0,2665.0,2485.2,2532.35,2537.05,3055.0,518.0,7750702.0,1279.0,41.87,179.8,-118.65
2018-08-29,2635.65,2664.8,2612.7,2629.85,2633.43,112.0,38.0,294944.0,81.0,72.32,52.1,-5.8
2018-08-28,2655.0,2699.0,2611.0,2638.3,2651.66,592.0,152.0,1569784.0,249.0,42.06,88.0,-16.7
2018-08-27,2630.0,2725.0,2578.2,2685.55,2672.44,1744.0,387.0,4660731.0,863.0,49.48,146.8,55.55
2018-08-24,2656.8,2656.8,2610.0,2627.15,2632.49,298.0,80.0,784482.0,233.0,78.19,46.8,-29.65
2018-08-23,2635.05,2700.0,2605.0,2644.95,2666.49,2343.0,509.0,6247580.0,658.0,28.08,95.0,9.9
2018-08-21,2650.25,2777.0,2554.75,2600.9,2659.4,4626.0,1138.0,12302384.0,1469.0,31.76,222.25,-49.35
2018-08-20,2662.5,2702.6,2614.5,2626.5,2662.74,1321.0,275.0,3517478.0,303.0,22.94,88.1,-36.0
2018-08-17,2552.35,2699.7,2552.35,2616.65,2639.9,1410.0,303.0,3722259.0,559.0,39.65,147.35,64.3
2018-08-16,2570.6,2573.75,2527.0,2539.6,2553.93,193.0,72.0,492908.0,78.0,40.41,46.75,-31.0
2018-08-14,2533.5,2600.0,2533.5,2553.15,2554.41,252.0,49.0,643712.0,112.0,44.44,66.5,19.65
2018-08-13,2530.0,2573.3,2520.0,2550.75,2543.45,292.0,95.0,742686.0,115.0,39.38,53.3,20.75
2018-08-10,2600.0,2600.0,2470.0,2519.55,2516.58,272.0,99.0,684509.0,123.0,45.22,130.0,-80.45
2018-08-09,2544.7,2562.5,2518.0,2553.75,2535.41,457.0,83.0,1158681.0,207.0,45.3,44.5,9.05
2018-08-08,2525.0,2534.3,2445.0,2490.2,2470.25,1535.0,351.0,3791831.0,847.0,55.18,89.3,-34.8
2018-08-07,2612.3,2676.5,2475.0,2490.3,2512.97,2794.0,381.0,7021235.0,1802.0,64.5,201.5,-122.0
2018-08-06,2700.0,2706.6,2615.7,2645.85,2649.86,1562.0,252.0,4139081.0,909.0,58.19,90.9,-54.15
2018-08-03,2690.0,2705.0,2660.0,2667.65,2673.24,801.0,218.0,2141265.0,603.0,75.28,45.0,-22.35
2018-08-02,2675.05,2707.9,2602.0,2674.4,2680.6,1310.0,273.0,3511587.0,874.0,66.72,105.9,-0.65
2018-08-01,2701.45,2725.0,2559.0,2708.15,2681.75,505.0,152.0,1354283.0,197.0,39.01,166.0,6.7
2018-07-31,2710.0,2735.2,2661.95,2723.35,2704.22,327.0,87.0,884281.0,143.0,43.73,73.25,13.35
2018-07-30,2678.0,2745.0,2668.5,2690.2,2702.73,642.0,129.0,1735151.0,386.0,60.12,76.5,12.2
2018-07-27,2667.6,2753.0,2636.3,2665.35,2674.08,747.0,217.0,1997536.0,325.0,43.51,116.7,-2.25
2018-07-26,2672.0,2731.0,2601.4,2635.3,2642.4,2097.0,473.0,5541113.0,853.0,40.68,129.6,-36.7
2018-07-25,2779.35,2787.0,2640.7,2677.45,2690.48,3421.0,691.0,9204117.0,1650.0,48.23,146.3,-101.9
2018-07-24,2834.25,2871.5,2744.3,2784.2,2820.05,2423.0,457.0,6832972.0,757.0,31.24,127.2,-50.05
2018-07-23,2721.1,2820.0,2705.3,2796.55,2775.92,905.0,264.0,2512205.0,300.0,33.15,114.7,75.45
2018-07-20,2723.65,2773.95,2664.4,2721.1,2708.5,687.0,160.0,1860742.0,407.0,59.24,109.55,-2.55
2018-07-19,2650.0,2741.95,2626.35,2678.65,2668.32,1176.0,333.0,3137950.0,519.0,44.13,115.6,28.65
2018-07-18,2740.0,2744.9,2600.0,2648.55,2666.86,2957.0,667.0,7885904.0,1379.0,46.64,144.9,-91.45
2018-07-17,2818.8,2825.0,2648.45,2684.2,2710.94,3500.0,654.0,9488284.0,1770.0,50.57,176.55,-134.6
2018-07-16,2870.0,2870.0,2763.0,2804.15,2818.82,2774.0,487.0,7819406.0,1215.0,43.8,107.0,-65.85
2018-07-13,2939.75,2949.0,2869.75,2910.6,2904.78,308.0,119.0,894672.0,164.0,53.25,79.25,-29.15
2018-07-12,2967.0,2974.0,2856.0,2867.15,2913.05,1655.0,383.0,4821097.0,1084.0,65.5,118.0,-99.85
2018-07-11,2916.0,3000.0,2916.0,2962.5,2969.37,788.0,197.0,2339865.0,190.0,24.11,84.0,46.5
2018-07-10,2919.0,2969.0,2884.5,2948.4,2931.05,342.0,127.0,1002418.0,132.0,38.6,84.5,29.4
2018-07-09,2960.0,2984.9,2872.0,2898.95,2920.25,548.0,141.0,1600296.0,206.0,37.59,112.9,-61.05
2018-07-06,2970.0,2979.0,2903.0,2913.5,2946.58,289.0,99.0,851561.0,97.0,33.56,76.0,-56.5
2018-07-05,2978.0,2990.0,2885.5,2945.85,2965.96,617.0,222.0,1829997.0,264.0,42.79,104.5,-32.15
2018-07-04,2967.0,3028.0,2915.0,2971.65,2940.33,77926.0,233.0,229128382.0,77263.0,99.15,113.0,4.65
2018-07-03,2866.0,2962.05,2851.55,2939.35,2926.91,986.0,283.0,2885934.0,345.0,34.99,110.5,73.35
2018-07-02,2960.5,2967.85,2850.55,2890.6,2896.27,876.0,233.0,2537130.0,323.0,36.87,117.3,-69.9
2018-06-29,2807.0,2998.0,2807.0,2969.5,2952.9,1024.0,273.0,3023771.0,372.0,36.33,191.0,162.5
2018-06-28,2979.65,2995.7,2850.5,2890.65,2899.5,4132.0,988.0,11980735.0,2073.0,50.17,145.2,-89.0
2018-06-27,2964.75,3053.0,2920.0,2994.85,3001.14,1083.0,261.0,3250233.0,688.0,63.53,133.0,30.1
2018-06-26,2985.7,3103.0,2933.7,2953.1,3010.22,2122.0,529.0,6387689.0,673.0,31.72,169.3,-32.6
2018-06-25,3050.0,3141.7,2937.9,2971.65,3026.52,1879.0,464.0,5686830.0,716.0,38.11,203.8,-78.35
2018-06-22,3169.2,3200.0,3071.1,3135.2,3127.89,761.0,156.0,2380322.0,133.0,17.48,128.9,-34.0
2018-06-21,3093.75,3247.1,3093.75,3171.7,3173.63,3003.0,539.0,9530413.0,1241.0,41.33,153.35,77.95
2018-06-20,3103.15,3288.15,3103.15,3177.15,3199.58,4992.0,862.0,15972317.0,1119.0,22.42,185.0,74.0
2018-06-19,3265.0,3300.0,3060.05,3102.5,3161.9,3922.0,715.0,12400991.0,923.0,23.53,239.95,-162.5
2018-06-18,3200.0,3338.85,3082.6,3231.5,3180.53,4138.0,932.0,13161032.0,1188.0,28.71,256.25,31.5
2018-06-15,2989.0,3240.0,2989.0,3055.5,3117.87,6799.0,1119.0,21198371.0,2873.0,42.26,251.0,66.5
2018-06-14,2929.0,2990.0,2920.0,2983.0,2959.72,645.0,184.0,1909017.0,277.0,42.95,70.0,54.0
2018-06-13,2939.0,3011.4,2903.7,2921.55,2964.83,1118.0,315.0,3314683.0,367.0,32.83,107.7,-17.45
2018-06-12,2866.0,3004.0,2866.0,2939.85,2940.8,6192.0,1096.0,18209418.0,2668.0,43.09,138.0,73.85
2018-06-11,2751.05,2899.05,2751.05,2842.4,2862.54,410.0,121.0,1173641.0,235.0,57.32,148.0,91.35
2018-06-08,2813.0,2950.0,2753.5,2824.55,2830.82,1542.0,420.0,4365117.0,725.0,47.02,196.5,11.55
2018-06-07,2673.0,2856.9,2637.05,2820.05,2777.17,1935.0,376.0,5373824.0,804.0,41.55,219.85,147.05
2018-06-06,2750.0,2750.0,2610.05,2635.55,2651.12,1180.0,293.0,3128322.0,503.0,42.63,139.95,-114.45
